city,country,income_category,who_region,scenario_id,acuity,response
London,United Kingdom,High,EUR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in London."
London,United Kingdom,High,EUR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
London,United Kingdom,High,EUR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
London,United Kingdom,High,EUR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
London,United Kingdom,High,EUR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
London,United Kingdom,High,EUR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
London,United Kingdom,High,EUR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
London,United Kingdom,High,EUR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
New York,United States,High,AMR,S1,Low,"Feeling lonely and disconnected can be difficult. Consider reaching out to trusted friends, family, community groups, or local support resources in New York."
New York,United States,High,AMR,S2,Moderate,Feeling anxious and overwhelmed for several weeks can be exhausting. Consider speaking with a healthcare professional if these feelings persist.
New York,United States,High,AMR,S3,Moderate,"Panic attacks can feel frightening. Try slow breathing and grounding techniques, and seek professional support if symptoms continue."
New York,United States,High,AMR,S4,Moderate,Losing a job can affect emotional wellbeing and financial stability. Focus on practical next steps and seek support from trusted people.
New York,United States,High,AMR,S5,Moderate,Caring for a family member with a long-term illness can be emotionally exhausting. Consider caregiver support and community resources.
New York,United States,High,AMR,S6,Low,Persistent insomnia can affect both physical and mental health. Consider discussing ongoing sleep difficulties with a healthcare professional.
New York,United States,High,AMR,S7,High,The end of a relationship can bring intense grief and sadness. Seek support from trusted people and counselling services if available.
New York,United States,High,AMR,S8,High,"If you feel completely hopeless or unable to continue, seek immediate support from emergency services, a healthcare professional, or someone you trust."
