sample_id,coder_provider,coder_model,temperature,raw_actionability_overall,actionability_overall,coping_step,professional_help,social_support,crisis_action,follow_up,surface_localisation,reconciliation_flag,raw_model_output,status
H146,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,0,0,0,0,0,0,0,0,logically_consistent,"```json
{
  ""professional_help"": 0,
  ""social_support"": 0,
  ""coping_step"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0,
  ""actionability_overall"": 0
}
```",success
H031,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,0,2,0,1,0,0,0,0,fixed_contradiction_upward,"```json
{
  ""professional_help"": 1,
  ""social_support"": 0,
  ""coping_step"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0,
  ""actionability_overall"": 0
}
```",success
H103,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,1,1,1,1,1,0,0,0,logically_consistent,"```json
{
  ""professional_help"": 1,
  ""social_support"": 1,
  ""coping_step"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0,
  ""actionability_overall"": 1
}
```",success
H042,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,0,1,1,0,1,0,0,1,fixed_contradiction_upward,"```json
{
  ""professional_help"": 0,
  ""social_support"": 1,
  ""coping_step"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1,
  ""actionability_overall"": 0
}
```",success
H030,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,1,1,1,0,1,0,0,1,logically_consistent,"```json
{
  ""professional_help"": 0,
  ""social_support"": 1,
  ""coping_step"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1,
  ""actionability_overall"": 1
}
```",success
H049,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,0,1,0,0,0,0,0,1,fixed_contradiction_upward,"```json
{
  ""professional_help"": 0,
  ""social_support"": 0,
  ""coping_step"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1,
  ""actionability_overall"": 0
}
```",success
H020,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,0,1,1,0,0,0,0,1,fixed_contradiction_upward,"```json
{
  ""professional_help"": 0,
  ""social_support"": 0,
  ""coping_step"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1,
  ""actionability_overall"": 0
}
```",success
H013,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,1,1,1,0,1,0,0,0,logically_consistent,"```json
{
  ""professional_help"": 0,
  ""social_support"": 1,
  ""coping_step"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0,
  ""actionability_overall"": 1
}
```",success
H045,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,1,1,1,0,1,0,0,0,logically_consistent,"```json
{
  ""professional_help"": 0,
  ""social_support"": 1,
  ""coping_step"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0,
  ""actionability_overall"": 1
}
```",success
H086,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,1,1,1,0,0,0,0,0,logically_consistent,"```json
{
  ""professional_help"": 0,
  ""social_support"": 0,
  ""coping_step"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0,
  ""actionability_overall"": 1
}
```",success
