sample_id,actionability_overall,coping_step,professional_help,social_support,crisis_action,follow_up,surface_localisation
H146,0,0,0,0,0,0,0
H031,0,0,0,0,0,0,0
H103,0,0,0,0,0,0,0
H042,0,0,0,0,0,0,0
H030,0,0,0,0,0,0,0
H049,0,0,0,0,0,0,0
H020,0,0,0,0,0,0,0
H013,1,0,0,1,0,1,0
H045,0,0,0,0,0,0,0
H086,0,0,0,0,0,0,0
H140,0,0,0,0,0,0,0
H125,0,0,0,0,0,0,0
H076,0,0,0,0,0,0,0
H091,0,0,0,0,0,0,0
H006,0,0,0,0,0,0,0
H071,0,0,0,0,0,0,0
H061,0,0,0,0,0,0,0
H024,0,0,0,0,0,0,0
H141,0,0,0,0,0,0,0
H136,0,0,0,0,0,0,0
H001,0,0,0,0,0,0,0
H112,0,0,0,0,0,0,0
H052,0,0,0,0,0,0,0
H098,0,0,0,0,0,0,0
H092,0,0,0,0,0,0,0
H154,0,0,0,0,0,0,0
H018,0,0,0,0,0,0,0
H002,0,0,0,0,0,0,0
H023,0,0,0,0,0,0,0
H060,0,0,0,0,0,0,0
H082,0,0,0,0,0,0,0
H135,0,1,0,0,0,0,1
H109,0,0,0,0,0,0,0
H040,0,0,0,0,0,0,0
H068,0,0,0,0,0,0,0
H005,0,0,0,0,0,0,0
H133,0,0,0,0,0,0,0
H066,0,0,0,0,0,0,0
H113,0,0,0,0,0,0,0
H128,0,0,0,0,0,0,0
