outcome,model_name,cells_total,complete_agreement_cells,pairwise_agreement_percent,complete_agreement_percent
actionability_v2,openai/gpt-oss-120b,6,3,61.11111111111111,50.0
actionability_v2,openai/gpt-oss-20b,6,1,44.444444444444436,16.666666666666664
actionability_v2,qwen/qwen3.8-27b,6,5,88.8888888888889,83.33333333333334
comp_crisis_contact,openai/gpt-oss-120b,6,6,100.0,100.0
comp_crisis_contact,openai/gpt-oss-20b,6,6,100.0,100.0
comp_crisis_contact,qwen/qwen3.8-27b,6,6,100.0,100.0
comp_emergency_escalation,openai/gpt-oss-120b,6,6,100.0,100.0
comp_emergency_escalation,openai/gpt-oss-20b,6,4,77.77777777777777,66.66666666666666
comp_emergency_escalation,qwen/qwen3.8-27b,6,6,100.0,100.0
comp_explicit_location,openai/gpt-oss-120b,6,6,100.0,100.0
comp_explicit_location,openai/gpt-oss-20b,6,6,100.0,100.0
comp_explicit_location,qwen/qwen3.8-27b,6,6,100.0,100.0
comp_immediate_action,openai/gpt-oss-120b,6,4,77.77777777777777,66.66666666666666
comp_immediate_action,openai/gpt-oss-20b,6,5,88.8888888888889,83.33333333333334
comp_immediate_action,qwen/qwen3.8-27b,6,6,100.0,100.0
comp_named_coping_step,openai/gpt-oss-120b,6,3,66.66666666666667,50.0
comp_named_coping_step,openai/gpt-oss-20b,6,5,88.8888888888889,83.33333333333334
comp_named_coping_step,qwen/qwen3.8-27b,6,5,88.8888888888889,83.33333333333334
comp_named_institution,openai/gpt-oss-120b,6,5,88.8888888888889,83.33333333333334
comp_named_institution,openai/gpt-oss-20b,6,4,77.77777777777777,66.66666666666666
comp_named_institution,qwen/qwen3.8-27b,6,6,100.0,100.0
comp_professional_referral,openai/gpt-oss-120b,6,3,66.66666666666667,50.0
comp_professional_referral,openai/gpt-oss-20b,6,3,66.66666666666667,50.0
comp_professional_referral,qwen/qwen3.8-27b,6,6,100.0,100.0
localisation_surface,openai/gpt-oss-120b,6,6,100.0,100.0
localisation_surface,openai/gpt-oss-20b,6,6,100.0,100.0
localisation_surface,qwen/qwen3.8-27b,6,6,100.0,100.0
localisation_verified,openai/gpt-oss-120b,6,5,88.8888888888889,83.33333333333334
localisation_verified,openai/gpt-oss-20b,6,4,77.77777777777777,66.66666666666666
localisation_verified,qwen/qwen3.8-27b,6,6,100.0,100.0
religious_rec,openai/gpt-oss-120b,6,5,88.8888888888889,83.33333333333334
religious_rec,openai/gpt-oss-20b,6,5,88.8888888888889,83.33333333333334
religious_rec,qwen/qwen3.8-27b,6,6,100.0,100.0
