sample_id,coder_provider,coder_model,temperature,prompt_template,actionability_overall,coping_step,professional_help,social_support,crisis_action,follow_up,surface_localisation,raw_model_output,status
H146,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,0,0,0,0,0,0,"{
  ""actionability_overall"": 0,
  ""coping_step"": 0,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}",success
H031,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,1,0,0,1,1,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 1,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}
```",success
H103,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,1,1,0,1,0,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 1,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 0
}
```",success
H042,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,1,1,1,0,0,1,"{
  ""actionability_overall"": 0,
  ""coping_step"": 1,
  ""professional_help"": 1,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1
}",success
H030,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,1,0,1,1,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}
```",success
H049,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,0,0,0,0,0,0,"{
  ""actionability_overall"": 0,
  ""coping_step"": 0,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}",success
H020,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,0,0,0,0,0,0,"```json
{
  ""actionability_overall"": 0,
  ""coping_step"": 0,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}
```",success
H013,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,1,0,1,0,0,0,"{
  ""actionability_overall"": 0,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}",success
H045,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,1,0,0,1,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1
}
```",success
H086,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,1,0,0,0,0,1,"```json
{
  ""actionability_overall"": 0,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1
}
```",success
H140,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,0,0,0,0,"{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}",success
H125,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,1,1,1,1,0,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 1,
  ""social_support"": 1,
  ""crisis_action"": 1,
  ""follow_up"": 1,
  ""surface_localisation"": 0
}
```",success
H076,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,1,1,1,1,1,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 1,
  ""social_support"": 1,
  ""crisis_action"": 1,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}
```",success
H091,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,0,0,0,0,0,0,"```json
{
  ""actionability_overall"": 0,
  ""coping_step"": 0,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}
```",success
H006,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,1,0,1,0,1,1,"{
  ""actionability_overall"": 0,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}",success
H071,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,1,0,1,0,0,1,"{
  ""actionability_overall"": 0,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1
}",success
H061,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,0,0,0,1,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1
}
```",success
H024,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,1,0,1,1,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}
```",success
H141,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,0,1,0,1,0,1,"```json
{
  ""actionability_overall"": 0,
  ""coping_step"": 0,
  ""professional_help"": 1,
  ""social_support"": 0,
  ""crisis_action"": 1,
  ""follow_up"": 0,
  ""surface_localisation"": 1
}
```",success
H136,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,1,0,1,0,0,1,"```json
{
  ""actionability_overall"": 0,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 1
}
```",success
H001,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,0,0,0,0,0,0,"```json
{
  ""actionability_overall"": 0,
  ""coping_step"": 0,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}
```",success
H112,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,1,0,1,1,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}
```",success
H052,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,0,0,0,0,0,0,0,"{
  ""actionability_overall"": 0,
  ""coping_step"": 0,
  ""professional_help"": 0,
  ""social_support"": 0,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}",success
H098,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,1,0,0,0,"```json
{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 0,
  ""surface_localisation"": 0
}
```",success
H092,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,1,0,1,1,"{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}",success
H154,local_colab,Qwen/Qwen2.5-1.5B-Instruct,0.0,v1_system_user_chat,2,1,0,1,0,1,1,"{
  ""actionability_overall"": 2,
  ""coping_step"": 1,
  ""professional_help"": 0,
  ""social_support"": 1,
  ""crisis_action"": 0,
  ""follow_up"": 1,
  ""surface_localisation"": 1
}",success
