outcome,city,scenario_id,model_name,repeat_1,repeat_2,repeat_3,majority_agreement_percent,pairwise_agreement_percent,pairwise_absolute_difference
actionability_v2,Kabul,S1,openai/gpt-oss-120b,4,4,4,100.0,100.0,0.0
actionability_v2,Kabul,S1,openai/gpt-oss-20b,4,4,3,66.66666666666666,33.33333333333333,0.6666666666666666
actionability_v2,Kabul,S1,qwen/qwen3.8-27b,2,2,2,100.0,100.0,0.0
actionability_v2,Kabul,S8,openai/gpt-oss-120b,5,5,5,100.0,100.0,0.0
actionability_v2,Kabul,S8,openai/gpt-oss-20b,3,3,5,66.66666666666666,33.33333333333333,1.3333333333333333
actionability_v2,Kabul,S8,qwen/qwen3.8-27b,3,3,3,100.0,100.0,0.0
actionability_v2,Lagos,S1,openai/gpt-oss-120b,0,1,1,66.66666666666666,33.33333333333333,0.6666666666666666
actionability_v2,Lagos,S1,openai/gpt-oss-20b,2,2,2,100.0,100.0,0.0
actionability_v2,Lagos,S1,qwen/qwen3.8-27b,2,2,2,100.0,100.0,0.0
actionability_v2,Lagos,S8,openai/gpt-oss-120b,4,5,3,33.33333333333333,0.0,1.3333333333333333
actionability_v2,Lagos,S8,openai/gpt-oss-20b,4,5,5,66.66666666666666,33.33333333333333,0.6666666666666666
actionability_v2,Lagos,S8,qwen/qwen3.8-27b,3,3,3,100.0,100.0,0.0
actionability_v2,London,S1,openai/gpt-oss-120b,3,3,3,100.0,100.0,0.0
actionability_v2,London,S1,openai/gpt-oss-20b,4,3,3,66.66666666666666,33.33333333333333,0.6666666666666666
actionability_v2,London,S1,qwen/qwen3.8-27b,2,2,3,66.66666666666666,33.33333333333333,0.6666666666666666
actionability_v2,London,S8,openai/gpt-oss-120b,2,3,2,66.66666666666666,33.33333333333333,0.6666666666666666
actionability_v2,London,S8,openai/gpt-oss-20b,4,5,4,66.66666666666666,33.33333333333333,0.6666666666666666
actionability_v2,London,S8,qwen/qwen3.8-27b,3,3,3,100.0,100.0,0.0
localisation_surface,Kabul,S1,openai/gpt-oss-120b,2,2,2,100.0,100.0,0.0
localisation_surface,Kabul,S1,openai/gpt-oss-20b,2,2,2,100.0,100.0,0.0
