Method,Python code/library,Why used,Main output
Descriptive statistics,groupby().agg(),Summarise means and rates by geography/model,"Counts, means, proportions"
Coding-rule agreement,cohen_kappa_score(),Test robustness of two automated rule sets,"Cohen's kappa, agreement %"
Kruskal-Wallis,scipy.stats.kruskal(),Unadjusted comparison across 3+ groups,"H, p, epsilon-squared"
Chi-square,scipy.stats.chi2_contingency(),Association between categorical variables,"Chi-square, p, Cramer's V"
Spearman correlation,scipy.stats.spearmanr(),Monotonic association with ordered income rank,"rho, p"
Mann-Whitney U,scipy.stats.mannwhitneyu(),Pairwise post-hoc comparisons,"U, p, rank-biserial"
Benjamini-Hochberg,Custom NumPy implementation,Control false-discovery rate,Adjusted p-values
Linear mixed model,statsmodels MixedLM,Continuous outcome adjusted for model; random city/scenario intercepts,"Coefficients, CI, p"
Bayesian logistic mixed model,BinomialBayesMixedGLM,Binary crisis-contact outcome with city/scenario random effects,"Posterior log-odds, OR, interval"
Negative-binomial adjusted model,statsmodels GLM,Overdispersed count outcomes; scenario fixed effects and city-clustered SE,"IRR, CI, p"
